drop_out_1;drop_out_2;activation_func;filters;train_accuracy;train_loss;validation_accuracy;validation_loss;regularization
0.1;0.2;relu;8;0.685290337;0.844193339;0.596544981;1.098362923;
0.1;0.2;sigmoid;8;0.678567708;0.875781715;0.595709085;1.124940395;
0.2;0.2;sigmoid;8;0.629907012;0.991858065;0.594315946;1.104362965;
0.1;0.2;sigmoid;8;0.717858493;0.773813844;0.592365563;1.174201846;
0.1;0.5;sigmoid;16;0.689330876;0.874980271;0.589300632;1.145551085;
0.1;0.5;elu;10;0.632136285;1.167719722;0.588743389;1.278739929;l2(0.01) on conv2 layers l2(0.02) on dense layers
0.2;0.2;sigmoid;8;0.625796795;1.006823421;0.588464737;1.109675646;
0.1;0.2;sigmoid;8;0.693232059;0.829903066;0.588186145;1.169960737;
0.2;0.5;sigmoid;12;0.645651162;0.991749227;0.587907493;1.118302941;
0.2;0.5;sigmoid;8;0.615625739;1.048843384;0.587350249;1.097315073;
0.1;0.2;elu;10;0.624020338;1.162014246;0.584285319;1.281059504;l2(0.01) on conv2 layers l2(0.02) on dense layers
0.1;0.5;sigmoid;8;0.64871645;0.963021338;0.583170772;1.172741771;
0.1;0.5;sigmoid;8;0.662370682;0.934630096;0.58149904;1.148822784;
0.1;0.5;sigmoid;8;0.638580263;1.001534104;0.580941796;1.146776438;
0.1;0.2;relu;8;0.631613791;0.98302418;0.577598214;1.124996662;
0.1;0.2;tanh;32;0.671705723;0.897727549;0.576205075;1.173753142;
0.1;0.2;tanh;8;0.666655064;0.909040391;0.574533284;1.177271008;
0.1;0.2;relu;16;0.587655425;1.327430487;0.572025657;1.335182548;3 dense layers of 64 size with l2(0.02)
0.1;0.2;tanh;12;0.667525887;0.903223813;0.571189761;1.174948931;
0.1;0.2;tanh;12;0.666689873;0.903486133;0.562830865;1.15932548;
0.2;0.2;elu;20;0.6108886;1.231938481;0.553357482;1.394659996;l2(0.01) on conv2 layers l2(0.02) on dense layers
0.2;0.5;elu;10;0.557838976;1.329707384;0.551685691;1.332538486;l2(0.01) on conv2 layers l2(0.02) on dense layers
0.1;0.5;elu;20;0.572503388;1.347194314;0.527444959;1.429888844;l2(0.01) on conv2 layers l2(0.02) on dense layers
0.1;0.2;elu;10;0.529799044;1.49684608;0.463081628;1.643003106;l2(0.02) (on dense layers)
0.1;0.2;elu;20;0.483228266;1.62253511;0.45444414;1.660972118;l2(0.05) (on all conv2 and dense layers)
